,Index,Emergent Behavior
0,000,Resolution of potencial conflicts
1,001,Negotiation and collaboration for resource allocation and demand efficiency
2,002,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
3,003,agents perform different functions based on their unique advantages relative to other agents postdisruption
4,004,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
5,005,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
6,006,to proactively plan the DC operation as a system to be able to exploit its latent flexible energy to achieve a deeper and more efficient integration with the local Smart Grid.
7,007,optimizations of the decisions of the Smart Grid given the best control design
8,008,decision about the best control design of the Smart Grid
9,009,cost limits are not exceeded
10,010,minimum peak loads emerging
11,011,avoid many simultaneous charging cycles
12,012,Optimize the overall charging behavior
13,013,Different responses according to different demand/response schemes (price-based)
14,014,promote to use a VPP from a new electricity production cost policy
15,015,optimise energy usage in a range of weather conditions
16,016,grid stability
17,017,balance between energy production and consumption
18,018,supply power to homes even in the event of an electric grid outage
19,019,supply power power to the electric load
20,020,decrease the power consumption from power utility by using available energy from the solar panels
21,021,control the battery and enhance the operation of the system
22,022,load-generation balance
23,023,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings
24,024,minimize the local waiting time for vehicles
25,025,minimize the average vehicle waiting time in the network
26,026,"north-to-south, red-to-green transition times"
27,027,deploy batteries in different ways depending on the behaviour of their members
28,028,balance energy consumption and production
29,029,use storage and demand-response techniques
30,030,cluster together into local energy collectives
31,031,market mechanisms
32,032,battery storage models
33,033,peak optimization
34,034,demand side management
35,035,energy consumption/production patterns
36,036,distributed negotiations between groups
